#seq1	seq2	N_differences	%_differences
IGHV4-30-4	IGHV3-25	67	67
IGHV4-30-4	IGHV3-20	70	70
IGHV4-30-4	IGHV3-21	70	70
IGHV4-30-4	IGHV3-22	63	63
IGHV4-30-4	IGHV3-23	68	68
IGHV4-30-4	IGHV5-A	72	72
IGHV4-30-4	IGHV7-34-1	67	67
IGHV4-30-4	IGHV1-58	73	73
IGHV4-30-4	IGHV5-51	73	73
IGHV4-30-4	IGHV3-69-1	55	55
IGHV4-30-4	IGHV3/OR16-10	56	56
IGHV4-30-4	IGHV3/OR16-13	73	73
IGHV4-30-4	IGHV3/OR16-12	71	71
IGHV4-30-4	IGHV3-35	72	72
IGHV4-30-4	IGHV3-33	68	68
IGHV4-30-4	IGHV3-30	68	68
IGHV4-30-4	IGHV2-26	41	41
IGHV4-30-4	IGHV3-38	77	77
IGHV4-30-4	IGHV5-10-1	72	72
IGHV4-30-4	IGHV3-64D	68	68
IGHV4-30-4	IGHV1-68	74	74
IGHV4-30-4	IGHV1-69	71	71
IGHV4-30-4	IGHV3-38-3	69	69
IGHV4-30-4	IGHV1/OR15-1	71	71
IGHV4-30-4	IGHV1/OR15-5	64	64
IGHV4-30-4	IGHV1/OR15-9	74	74
IGHV4-30-4	IGHV2-10	66	66
IGHV4-30-4	IGHV4-61	4	4
IGHV4-30-4	IGHV2/OR16-5	45	45
IGHV4-30-4	IGHV3-43D	69	69
IGHV4-30-4	IGHV4-30-2	7	7
IGHV2-70	IGHV3-D	73	73
IGHV2-70	IGHV2-70D	4	4
IGHV2-70	IGHV3-62	73	73
IGHV2-70	IGHV3-64	74	74
IGHV2-70	IGHV3-66	62	62
IGHV2-70	IGHV7-4-1	79	79
IGHV2-70	IGHV5-78	76	76
IGHV2-70	IGHV4-B	60	60
IGHV2-70	IGHV7-81	80	80
IGHV2-70	IGHV3/OR15-7	76	75
IGHV2-70	IGHV3/OR16-9	78	78
IGHV2-70	IGHV3/OR16-8	80	80
IGHV2-70	IGHV3-73	77	76
IGHV2-70	IGHV3-72	76	75
IGHV2-70	IGHV3-71	62	62
IGHV2-70	IGHV3/OR16-6	79	78
IGHV2-70	IGHV3-74	76	76
IGHV2-70	IGHV1-8	80	80
IGHV2-70	IGHV1-38-4	83	83
IGHV2-70	IGHV1-2	80	80
IGHV2-70	IGHV4-39	42	42
IGHV2-70	IGHV4-34	55	55
IGHV2-70	IGHV4-38-2	60	60
IGHV2-70	IGHV4-31	41	41
IGHV2-70	IGHV4/OR15-8	63	63
IGHV2-70	IGHV3-48	75	75
IGHV2-70	IGHV3-49	79	78
IGHV2-70	IGHV3-47	67	67
IGHV2-70	IGHV1-C	83	83
IGHV2-70	IGHV3-43	80	79
IGHV2-70	IGHV1-69-2	78	78
IGHV2-70	IGHV3-NL1	74	74
IGHV2-70	IGHV4-28	61	61
IGHV2-70	IGHV1/OR21-1	78	78
IGHV2-70	IGHV6-1	68	67
IGHV2-70	IGHV3-53	62	62
IGHV2-70	IGHV3-52	76	76
IGHV2-70	IGHV3-54	73	73
IGHV2-70	IGHV1-F	78	78
IGHV2-70	IGHV2-5	14	14
IGHV2-70	IGHV4-55	59	59
IGHV2-70	IGHV1-45	78	78
IGHV2-70	IGHV1-46	77	77
IGHV2-70	IGHV4-59	56	56
IGHV2-70	IGHV3-25	75	75
IGHV2-70	IGHV3-20	83	83
IGHV2-70	IGHV3-21	75	75
IGHV2-70	IGHV3-22	62	62
IGHV2-70	IGHV3-23	74	74
IGHV2-70	IGHV5-A	74	74
IGHV2-70	IGHV7-34-1	74	74
IGHV2-70	IGHV1-58	80	80
IGHV2-70	IGHV5-51	73	73
IGHV2-70	IGHV3-69-1	64	64
IGHV2-70	IGHV3/OR16-10	64	64
IGHV2-70	IGHV3/OR16-13	79	79
IGHV2-70	IGHV3/OR16-12	75	75
IGHV2-70	IGHV3-35	83	83
IGHV2-70	IGHV3-33	72	72
IGHV2-70	IGHV3-30	72	72
IGHV2-70	IGHV2-26	16	16
IGHV2-70	IGHV3-38	72	72
IGHV2-70	IGHV5-10-1	74	74
IGHV2-70	IGHV3-64D	75	75
IGHV2-70	IGHV1-68	81	81
IGHV2-70	IGHV1-69	78	78
IGHV2-70	IGHV3-38-3	73	73
IGHV2-70	IGHV1/OR15-1	78	78
IGHV2-70	IGHV1/OR15-5	69	69
IGHV2-70	IGHV1/OR15-9	78	78
IGHV2-70	IGHV2-10	57	57
IGHV2-70	IGHV4-61	42	42
IGHV2-70	IGHV2/OR16-5	15	15
IGHV2-70	IGHV3-43D	80	79
IGHV2-70	IGHV4-30-2	43	43
IGHV3-D	IGHV2-70D	74	74
IGHV3-D	IGHV3-62	55	56
IGHV3-D	IGHV3-64	51	52
IGHV3-D	IGHV3-66	8	8
IGHV3-D	IGHV7-4-1	67	68
IGHV3-D	IGHV5-78	67	68
IGHV3-D	IGHV4-B	66	67
IGHV3-D	IGHV7-81	71	72
IGHV3-D	IGHV3/OR15-7	52	52
IGHV3-D	IGHV3/OR16-9	49	50
IGHV3-D	IGHV3/OR16-8	49	50
IGHV3-D	IGHV3-73	53	53
IGHV3-D	IGHV3-72	53	53
IGHV3-D	IGHV3-71	53	53
IGHV3-D	IGHV3/OR16-6	56	56
IGHV3-D	IGHV3-74	52	53
IGHV3-D	IGHV1-8	68	69
IGHV3-D	IGHV1-38-4	69	70
IGHV3-D	IGHV1-2	65	66
IGHV3-D	IGHV4-39	68	68
IGHV3-D	IGHV4-34	71	73
IGHV3-D	IGHV4-38-2	66	67
IGHV3-D	IGHV4-31	70	70
IGHV3-D	IGHV4/OR15-8	68	69
IGHV3-D	IGHV3-48	16	16
IGHV3-D	IGHV3-49	56	56
IGHV3-D	IGHV3-47	54	55
IGHV3-D	IGHV1-C	69	70
IGHV3-D	IGHV3-43	53	53
IGHV3-D	IGHV1-69-2	68	69
IGHV3-D	IGHV3-NL1	51	52
IGHV3-D	IGHV4-28	67	68
IGHV3-D	IGHV1/OR21-1	71	72
IGHV3-D	IGHV6-1	69	68
IGHV3-D	IGHV3-53	9	9
IGHV3-D	IGHV3-52	61	62
IGHV3-D	IGHV3-54	61	63
IGHV3-D	IGHV1-F	68	69
IGHV3-D	IGHV2-5	75	75
IGHV3-D	IGHV4-55	65	67
IGHV3-D	IGHV1-45	71	72
IGHV3-D	IGHV1-46	65	66
IGHV3-D	IGHV4-59	67	69
IGHV3-D	IGHV3-25	60	62
IGHV3-D	IGHV3-20	54	55
IGHV3-D	IGHV3-21	16	16
IGHV3-D	IGHV3-22	54	54
IGHV3-D	IGHV3-23	10	10
IGHV3-D	IGHV5-A	64	65
IGHV3-D	IGHV7-34-1	73	76
IGHV3-D	IGHV1-58	66	67
IGHV3-D	IGHV5-51	66	67
IGHV3-D	IGHV3-69-1	48	49
IGHV3-D	IGHV3/OR16-10	52	53
IGHV3-D	IGHV3/OR16-13	52	53
IGHV3-D	IGHV3/OR16-12	56	57
IGHV3-D	IGHV3-35	53	54
IGHV3-D	IGHV3-33	54	55
IGHV3-D	IGHV3-30	53	54
IGHV3-D	IGHV2-26	76	76
IGHV3-D	IGHV3-38	10	10
IGHV3-D	IGHV5-10-1	64	65
IGHV3-D	IGHV3-64D	50	51
IGHV3-D	IGHV1-68	70	71
IGHV3-D	IGHV1-69	64	65
IGHV3-D	IGHV3-38-3	0	0
IGHV3-D	IGHV1/OR15-1	70	71
IGHV3-D	IGHV1/OR15-5	59	61
IGHV3-D	IGHV1/OR15-9	68	69
IGHV3-D	IGHV2-10	72	73
IGHV3-D	IGHV4-61	70	70
IGHV3-D	IGHV2/OR16-5	79	79
IGHV3-D	IGHV3-43D	52	52
IGHV3-D	IGHV4-30-2	69	69
IGHV2-70D	IGHV3-62	73	73
IGHV2-70D	IGHV3-64	75	75
IGHV2-70D	IGHV3-66	63	63
IGHV2-70D	IGHV7-4-1	79	79
IGHV2-70D	IGHV5-78	76	76
IGHV2-70D	IGHV4-B	61	61
IGHV2-70D	IGHV7-81	80	80
IGHV2-70D	IGHV3/OR15-7	76	75
IGHV2-70D	IGHV3/OR16-9	78	78
IGHV2-70D	IGHV3/OR16-8	80	80
IGHV2-70D	IGHV3-73	77	76
IGHV2-70D	IGHV3-72	76	75
IGHV2-70D	IGHV3-71	61	61
IGHV2-70D	IGHV3/OR16-6	79	78
IGHV2-70D	IGHV3-74	76	76
IGHV2-70D	IGHV1-8	80	80
IGHV2-70D	IGHV1-38-4	84	84
IGHV2-70D	IGHV1-2	84	84
IGHV2-70D	IGHV4-39	43	43
IGHV2-70D	IGHV4-34	55	55
IGHV2-70D	IGHV4-38-2	61	61
IGHV2-70D	IGHV4-31	42	42
IGHV2-70D	IGHV4/OR15-8	63	63
IGHV2-70D	IGHV3-48	76	76
IGHV2-70D	IGHV3-49	79	78
IGHV2-70D	IGHV3-47	68	68
IGHV2-70D	IGHV1-C	84	84
IGHV2-70D	IGHV3-43	81	80
IGHV2-70D	IGHV1-69-2	78	78
IGHV2-70D	IGHV3-NL1	75	75
IGHV2-70D	IGHV4-28	62	62
IGHV2-70D	IGHV1/OR21-1	78	78
IGHV2-70D	IGHV6-1	68	67
IGHV2-70D	IGHV3-53	63	63
IGHV2-70D	IGHV3-52	77	77
IGHV2-70D	IGHV3-54	73	73
IGHV2-70D	IGHV1-F	78	78
IGHV2-70D	IGHV2-5	14	14
IGHV2-70D	IGHV4-55	60	60
IGHV2-70D	IGHV1-45	78	78
IGHV2-70D	IGHV1-46	77	77
IGHV2-70D	IGHV4-59	56	56
IGHV2-70D	IGHV3-25	76	76
IGHV2-70D	IGHV3-20	83	83
IGHV2-70D	IGHV3-21	76	76
IGHV2-70D	IGHV3-22	61	61
IGHV2-70D	IGHV3-23	75	75
IGHV2-70D	IGHV5-A	80	80
IGHV2-70D	IGHV7-34-1	74	74
IGHV2-70D	IGHV1-58	80	80
IGHV2-70D	IGHV5-51	73	73
IGHV2-70D	IGHV3-69-1	65	65
IGHV2-70D	IGHV3/OR16-10	65	65
IGHV2-70D	IGHV3/OR16-13	79	79
IGHV2-70D	IGHV3/OR16-12	75	75
IGHV2-70D	IGHV3-35	83	83
IGHV2-70D	IGHV3-33	73	73
IGHV2-70D	IGHV3-30	73	73
IGHV2-70D	IGHV2-26	15	15
IGHV2-70D	IGHV3-38	73	73
IGHV2-70D	IGHV5-10-1	80	80
IGHV2-70D	IGHV3-64D	76	76
IGHV2-70D	IGHV1-68	81	81
IGHV2-70D	IGHV1-69	78	78
IGHV2-70D	IGHV3-38-3	74	74
IGHV2-70D	IGHV1/OR15-1	78	78
IGHV2-70D	IGHV1/OR15-5	69	69
IGHV2-70D	IGHV1/OR15-9	78	78
IGHV2-70D	IGHV2-10	58	58
IGHV2-70D	IGHV4-61	42	42
IGHV2-70D	IGHV2/OR16-5	14	14
IGHV2-70D	IGHV3-43D	81	80
IGHV2-70D	IGHV4-30-2	44	44
IGHV3-62	IGHV3-64	52	53
IGHV3-62	IGHV3-66	26	26
IGHV3-62	IGHV7-4-1	67	68
IGHV3-62	IGHV5-78	69	70
IGHV3-62	IGHV4-B	71	72
IGHV3-62	IGHV7-81	70	71
IGHV3-62	IGHV3/OR15-7	56	56
IGHV3-62	IGHV3/OR16-9	57	58
IGHV3-62	IGHV3/OR16-8	57	58
IGHV3-62	IGHV3-73	53	53
IGHV3-62	IGHV3-72	55	55
IGHV3-62	IGHV3-71	57	57
IGHV3-62	IGHV3/OR16-6	59	59
IGHV3-62	IGHV3-74	54	55
IGHV3-62	IGHV1-8	69	70
IGHV3-62	IGHV1-38-4	73	74
IGHV3-62	IGHV1-2	66	67
IGHV3-62	IGHV4-39	66	66
IGHV3-62	IGHV4-34	58	59
IGHV3-62	IGHV4-38-2	71	72
IGHV3-62	IGHV4-31	69	69
IGHV3-62	IGHV4/OR15-8	68	69
IGHV3-62	IGHV3-48	53	54
IGHV3-62	IGHV3-49	56	56
IGHV3-62	IGHV3-47	32	32
IGHV3-62	IGHV1-C	73	74
IGHV3-62	IGHV3-43	58	58
IGHV3-62	IGHV1-69-2	69	70
IGHV3-62	IGHV3-NL1	54	55
IGHV3-62	IGHV4-28	71	72
IGHV3-62	IGHV1/OR21-1	70	71
IGHV3-62	IGHV6-1	75	74
IGHV3-62	IGHV3-53	27	27
IGHV3-62	IGHV3-52	51	52
IGHV3-62	IGHV3-54	60	61
IGHV3-62	IGHV1-F	69	70
IGHV3-62	IGHV2-5	74	74
IGHV3-62	IGHV4-55	55	56
IGHV3-62	IGHV1-45	71	72
IGHV3-62	IGHV1-46	66	67
IGHV3-62	IGHV4-59	55	56
IGHV3-62	IGHV3-25	43	44
IGHV3-62	IGHV3-20	59	60
IGHV3-62	IGHV3-21	54	55
IGHV3-62	IGHV3-22	60	60
IGHV3-62	IGHV3-23	54	55
IGHV3-62	IGHV5-A	67	68
IGHV3-62	IGHV7-34-1	71	73
IGHV3-62	IGHV1-58	68	69
IGHV3-62	IGHV5-51	66	67
IGHV3-62	IGHV3-69-1	25	25
IGHV3-62	IGHV3/OR16-10	26	26
IGHV3-62	IGHV3/OR16-13	54	55
IGHV3-62	IGHV3/OR16-12	59	60
IGHV3-62	IGHV3-35	56	57
IGHV3-62	IGHV3-33	57	58
IGHV3-62	IGHV3-30	56	57
IGHV3-62	IGHV2-26	74	74
IGHV3-62	IGHV3-38	56	57
IGHV3-62	IGHV5-10-1	67	68
IGHV3-62	IGHV3-64D	52	53
IGHV3-62	IGHV1-68	73	74
IGHV3-62	IGHV1-69	67	68
IGHV3-62	IGHV3-38-3	55	56
IGHV3-62	IGHV1/OR15-1	70	71
IGHV3-62	IGHV1/OR15-5	67	69
IGHV3-62	IGHV1/OR15-9	69	70
IGHV3-62	IGHV2-10	66	67
IGHV3-62	IGHV4-61	67	67
IGHV3-62	IGHV2/OR16-5	74	74
IGHV3-62	IGHV3-43D	57	57
IGHV3-62	IGHV4-30-2	67	67
IGHV3-64	IGHV3-66	48	48
IGHV3-64	IGHV7-4-1	40	40
IGHV3-64	IGHV5-78	48	48
IGHV3-64	IGHV4-B	53	54
IGHV3-64	IGHV7-81	46	46
IGHV3-64	IGHV3/OR15-7	54	54
IGHV3-64	IGHV3/OR16-9	18	18
IGHV3-64	IGHV3/OR16-8	20	20
IGHV3-64	IGHV3-73	51	51
IGHV3-64	IGHV3-72	53	53
IGHV3-64	IGHV3-71	52	52
IGHV3-64	IGHV3/OR16-6	58	58
IGHV3-64	IGHV3-74	12	12
IGHV3-64	IGHV1-8	47	47
IGHV3-64	IGHV1-38-4	49	50
IGHV3-64	IGHV1-2	46	46
IGHV3-64	IGHV4-39	67	67
IGHV3-64	IGHV4-34	68	69
IGHV3-64	IGHV4-38-2	53	54
IGHV3-64	IGHV4-31	70	70
IGHV3-64	IGHV4/OR15-8	56	57
IGHV3-64	IGHV3-48	14	14
IGHV3-64	IGHV3-49	55	55
IGHV3-64	IGHV3-47	48	48
IGHV3-64	IGHV1-C	49	50
IGHV3-64	IGHV3-43	16	16
IGHV3-64	IGHV1-69-2	47	47
IGHV3-64	IGHV3-NL1	12	12
IGHV3-64	IGHV4-28	54	55
IGHV3-64	IGHV1/OR21-1	50	51
IGHV3-64	IGHV6-1	70	69
IGHV3-64	IGHV3-53	49	50
IGHV3-64	IGHV3-52	29	29
IGHV3-64	IGHV3-54	63	64
IGHV3-64	IGHV1-F	47	47
IGHV3-64	IGHV2-5	77	77
IGHV3-64	IGHV4-55	64	65
IGHV3-64	IGHV1-45	50	51
IGHV3-64	IGHV1-46	41	41
IGHV3-64	IGHV4-59	65	66
IGHV3-64	IGHV3-25	58	59
IGHV3-64	IGHV3-20	18	18
IGHV3-64	IGHV3-21	15	15
IGHV3-64	IGHV3-22	55	55
IGHV3-64	IGHV3-23	9	9
IGHV3-64	IGHV5-A	45	45
IGHV3-64	IGHV7-34-1	74	75
IGHV3-64	IGHV1-58	48	48
IGHV3-64	IGHV5-51	46	46
IGHV3-64	IGHV3-69-1	48	48
IGHV3-64	IGHV3/OR16-10	11	11
IGHV3-64	IGHV3/OR16-13	14	14
IGHV3-64	IGHV3/OR16-12	22	22
IGHV3-64	IGHV3-35	19	19
IGHV3-64	IGHV3-33	16	16
IGHV3-64	IGHV3-30	14	14
IGHV3-64	IGHV2-26	77	77
IGHV3-64	IGHV3-38	52	53
IGHV3-64	IGHV5-10-1	45	45
IGHV3-64	IGHV3-64D	6	6
IGHV3-64	IGHV1-68	50	51
IGHV3-64	IGHV1-69	44	44
IGHV3-64	IGHV3-38-3	51	52
IGHV3-64	IGHV1/OR15-1	47	47
IGHV3-64	IGHV1/OR15-5	43	43
IGHV3-64	IGHV1/OR15-9	47	47
IGHV3-64	IGHV2-10	76	77
IGHV3-64	IGHV4-61	69	69
IGHV3-64	IGHV2/OR16-5	82	82
IGHV3-64	IGHV3-43D	14	14
IGHV3-64	IGHV4-30-2	68	68
IGHV3-66	IGHV7-4-1	66	67
IGHV3-66	IGHV5-78	64	65
IGHV3-66	IGHV4-B	55	56
IGHV3-66	IGHV7-81	69	70
IGHV3-66	IGHV3/OR15-7	51	51
IGHV3-66	IGHV3/OR16-9	51	52
IGHV3-66	IGHV3/OR16-8	49	50
IGHV3-66	IGHV3-73	52	52
IGHV3-66	IGHV3-72	51	51
IGHV3-66	IGHV3-71	51	51
IGHV3-66	IGHV3/OR16-6	54	54
IGHV3-66	IGHV3-74	48	48
IGHV3-66	IGHV1-8	68	69
IGHV3-66	IGHV1-38-4	69	70
IGHV3-66	IGHV1-2	63	64
IGHV3-66	IGHV4-39	51	51
IGHV3-66	IGHV4-34	45	46
IGHV3-66	IGHV4-38-2	55	56
IGHV3-66	IGHV4-31	53	53
IGHV3-66	IGHV4/OR15-8	53	54
IGHV3-66	IGHV3-48	46	46
IGHV3-66	IGHV3-49	54	54
IGHV3-66	IGHV3-47	20	20
IGHV3-66	IGHV1-C	69	70
IGHV3-66	IGHV3-43	52	52
IGHV3-66	IGHV1-69-2	68	69
IGHV3-66	IGHV3-NL1	45	45
IGHV3-66	IGHV4-28	55	56
IGHV3-66	IGHV1/OR21-1	71	72
IGHV3-66	IGHV6-1	68	67
IGHV3-66	IGHV3-53	1	1
IGHV3-66	IGHV3-52	51	52
IGHV3-66	IGHV3-54	61	62
IGHV3-66	IGHV1-F	68	69
IGHV3-66	IGHV2-5	65	65
IGHV3-66	IGHV4-55	40	41
IGHV3-66	IGHV1-45	70	71
IGHV3-66	IGHV1-46	64	65
IGHV3-66	IGHV4-59	40	41
IGHV3-66	IGHV3-25	31	31
IGHV3-66	IGHV3-20	52	53
IGHV3-66	IGHV3-21	48	48
IGHV3-66	IGHV3-22	54	54
IGHV3-66	IGHV3-23	48	48
IGHV3-66	IGHV5-A	64	65
IGHV3-66	IGHV7-34-1	65	67
IGHV3-66	IGHV1-58	68	69
IGHV3-66	IGHV5-51	64	65
IGHV3-66	IGHV3-69-1	13	13
IGHV3-66	IGHV3/OR16-10	14	14
IGHV3-66	IGHV3/OR16-13	48	48
IGHV3-66	IGHV3/OR16-12	53	54
IGHV3-66	IGHV3-35	50	51
IGHV3-66	IGHV3-33	50	51
IGHV3-66	IGHV3-30	50	51
IGHV3-66	IGHV2-26	64	64
IGHV3-66	IGHV3-38	8	8
IGHV3-66	IGHV5-10-1	64	65
IGHV3-66	IGHV3-64D	48	48
IGHV3-66	IGHV1-68	73	74
IGHV3-66	IGHV1-69	64	65
IGHV3-66	IGHV3-38-3	8	8
IGHV3-66	IGHV1/OR15-1	69	70
IGHV3-66	IGHV1/OR15-5	58	59
IGHV3-66	IGHV1/OR15-9	70	71
IGHV3-66	IGHV2-10	61	62
IGHV3-66	IGHV4-61	52	52
IGHV3-66	IGHV2/OR16-5	65	65
IGHV3-66	IGHV3-43D	52	52
IGHV3-66	IGHV4-30-2	52	52
IGHV7-4-1	IGHV5-78	44	44
IGHV7-4-1	IGHV4-B	64	65
IGHV7-4-1	IGHV7-81	14	14
IGHV7-4-1	IGHV3/OR15-7	67	67
IGHV7-4-1	IGHV3/OR16-9	46	46
IGHV7-4-1	IGHV3/OR16-8	45	45
IGHV7-4-1	IGHV3-73	63	63
IGHV7-4-1	IGHV3-72	64	64
IGHV7-4-1	IGHV3-71	64	64
IGHV7-4-1	IGHV3/OR16-6	67	67
IGHV7-4-1	IGHV3-74	42	42
IGHV7-4-1	IGHV1-8	25	25
IGHV7-4-1	IGHV1-38-4	37	37
IGHV7-4-1	IGHV1-2	28	28
IGHV7-4-1	IGHV4-39	78	78
IGHV7-4-1	IGHV4-34	70	71
IGHV7-4-1	IGHV4-38-2	64	65
IGHV7-4-1	IGHV4-31	79	79
IGHV7-4-1	IGHV4/OR15-8	65	66
IGHV7-4-1	IGHV3-48	42	42
IGHV7-4-1	IGHV3-49	63	63
IGHV7-4-1	IGHV3-47	65	66
IGHV7-4-1	IGHV1-C	37	37
IGHV7-4-1	IGHV3-43	46	46
IGHV7-4-1	IGHV1-69-2	37	37
IGHV7-4-1	IGHV3-NL1	42	42
IGHV7-4-1	IGHV4-28	64	65
IGHV7-4-1	IGHV1/OR21-1	35	35
IGHV7-4-1	IGHV6-1	81	80
IGHV7-4-1	IGHV3-53	66	67
IGHV7-4-1	IGHV3-52	56	57
IGHV7-4-1	IGHV3-54	72	73
IGHV7-4-1	IGHV1-F	37	37
IGHV7-4-1	IGHV2-5	81	81
IGHV7-4-1	IGHV4-55	70	71
IGHV7-4-1	IGHV1-45	34	34
IGHV7-4-1	IGHV1-46	26	26
IGHV7-4-1	IGHV4-59	70	71
IGHV7-4-1	IGHV3-25	67	68
IGHV7-4-1	IGHV3-20	44	44
IGHV7-4-1	IGHV3-21	41	41
IGHV7-4-1	IGHV3-22	66	66
IGHV7-4-1	IGHV3-23	41	41
IGHV7-4-1	IGHV5-A	38	38
IGHV7-4-1	IGHV7-34-1	54	55
IGHV7-4-1	IGHV1-58	34	34
IGHV7-4-1	IGHV5-51	37	37
IGHV7-4-1	IGHV3-69-1	62	63
IGHV7-4-1	IGHV3/OR16-10	60	61
IGHV7-4-1	IGHV3/OR16-13	45	45
IGHV7-4-1	IGHV3/OR16-12	47	47
IGHV7-4-1	IGHV3-35	44	44
IGHV7-4-1	IGHV3-33	40	40
IGHV7-4-1	IGHV3-30	39	39
IGHV7-4-1	IGHV2-26	80	80
IGHV7-4-1	IGHV3-38	69	70
IGHV7-4-1	IGHV5-10-1	38	38
IGHV7-4-1	IGHV3-64D	41	41
IGHV7-4-1	IGHV1-68	38	38
IGHV7-4-1	IGHV1-69	30	30
IGHV7-4-1	IGHV3-38-3	67	68
IGHV7-4-1	IGHV1/OR15-1	29	29
IGHV7-4-1	IGHV1/OR15-5	32	32
IGHV7-4-1	IGHV1/OR15-9	36	36
IGHV7-4-1	IGHV2-10	80	80
IGHV7-4-1	IGHV4-61	78	78
IGHV7-4-1	IGHV2/OR16-5	79	79
IGHV7-4-1	IGHV3-43D	44	44
IGHV7-4-1	IGHV4-30-2	78	78
IGHV5-78	IGHV4-B	64	65
IGHV5-78	IGHV7-81	43	43
IGHV5-78	IGHV3/OR15-7	72	72
IGHV5-78	IGHV3/OR16-9	52	53
IGHV5-78	IGHV3/OR16-8	51	52
IGHV5-78	IGHV3-73	71	71
IGHV5-78	IGHV3-72	70	70
IGHV5-78	IGHV3-71	68	68
IGHV5-78	IGHV3/OR16-6	70	70
IGHV5-78	IGHV3-74	47	47
IGHV5-78	IGHV1-8	43	43
IGHV5-78	IGHV1-38-4	47	47
IGHV5-78	IGHV1-2	43	43
IGHV5-78	IGHV4-39	73	73
IGHV5-78	IGHV4-34	67	68
IGHV5-78	IGHV4-38-2	64	65
IGHV5-78	IGHV4-31	74	74
IGHV5-78	IGHV4/OR15-8	66	67
IGHV5-78	IGHV3-48	50	51
IGHV5-78	IGHV3-49	70	70
IGHV5-78	IGHV3-47	65	66
IGHV5-78	IGHV1-C	47	47
IGHV5-78	IGHV3-43	50	50
IGHV5-78	IGHV1-69-2	41	41
IGHV5-78	IGHV3-NL1	45	45
IGHV5-78	IGHV4-28	66	67
IGHV5-78	IGHV1/OR21-1	43	43
IGHV5-78	IGHV6-1	78	77
IGHV5-78	IGHV3-53	64	65
IGHV5-78	IGHV3-52	54	55
IGHV5-78	IGHV3-54	74	75
IGHV5-78	IGHV1-F	41	41
IGHV5-78	IGHV2-5	76	76
IGHV5-78	IGHV4-55	67	68
IGHV5-78	IGHV1-45	42	42
IGHV5-78	IGHV1-46	41	41
IGHV5-78	IGHV4-59	66	67
IGHV5-78	IGHV3-25	71	72
IGHV5-78	IGHV3-20	50	51
IGHV5-78	IGHV3-21	49	50
IGHV5-78	IGHV3-22	70	70
IGHV5-78	IGHV3-23	48	48
IGHV5-78	IGHV5-A	16	16
IGHV5-78	IGHV7-34-1	69	70
IGHV5-78	IGHV1-58	48	48
IGHV5-78	IGHV5-51	14	14
IGHV5-78	IGHV3-69-1	65	66
IGHV5-78	IGHV3/OR16-10	62	63
IGHV5-78	IGHV3/OR16-13	47	47
IGHV5-78	IGHV3/OR16-12	56	57
IGHV5-78	IGHV3-35	51	52
IGHV5-78	IGHV3-33	47	47
IGHV5-78	IGHV3-30	47	47
IGHV5-78	IGHV2-26	78	78
IGHV5-78	IGHV3-38	69	70
IGHV5-78	IGHV5-10-1	16	16
IGHV5-78	IGHV3-64D	47	47
IGHV5-78	IGHV1-68	47	47
IGHV5-78	IGHV1-69	41	41
IGHV5-78	IGHV3-38-3	67	68
IGHV5-78	IGHV1/OR15-1	41	41
IGHV5-78	IGHV1/OR15-5	39	39
IGHV5-78	IGHV1/OR15-9	40	40
IGHV5-78	IGHV2-10	78	78
IGHV5-78	IGHV4-61	74	74
IGHV5-78	IGHV2/OR16-5	80	80
IGHV5-78	IGHV3-43D	49	49
IGHV5-78	IGHV4-30-2	74	74
IGHV4-B	IGHV7-81	67	68
IGHV4-B	IGHV3/OR15-7	69	69
IGHV4-B	IGHV3/OR16-9	54	55
IGHV4-B	IGHV3/OR16-8	57	58
IGHV4-B	IGHV3-73	66	66
IGHV4-B	IGHV3-72	68	68
IGHV4-B	IGHV3-71	71	71
IGHV4-B	IGHV3/OR16-6	68	68
IGHV4-B	IGHV3-74	55	56
IGHV4-B	IGHV1-8	64	65
IGHV4-B	IGHV1-38-4	68	69
IGHV4-B	IGHV1-2	64	65
IGHV4-B	IGHV4-39	30	30
IGHV4-B	IGHV4-34	33	33
IGHV4-B	IGHV4-38-2	0	0
IGHV4-B	IGHV4-31	34	34
IGHV4-B	IGHV4/OR15-8	11	11
IGHV4-B	IGHV3-48	55	56
IGHV4-B	IGHV3-49	68	68
IGHV4-B	IGHV3-47	62	63
IGHV4-B	IGHV1-C	68	69
IGHV4-B	IGHV3-43	59	59
IGHV4-B	IGHV1-69-2	62	63
IGHV4-B	IGHV3-NL1	54	55
IGHV4-B	IGHV4-28	8	8
IGHV4-B	IGHV1/OR21-1	63	64
IGHV4-B	IGHV6-1	63	62
IGHV4-B	IGHV3-53	55	56
IGHV4-B	IGHV3-52	64	65
IGHV4-B	IGHV3-54	71	72
IGHV4-B	IGHV1-F	62	63
IGHV4-B	IGHV2-5	59	59
IGHV4-B	IGHV4-55	39	39
IGHV4-B	IGHV1-45	66	67
IGHV4-B	IGHV1-46	61	62
IGHV4-B	IGHV4-59	34	34
IGHV4-B	IGHV3-25	68	69
IGHV4-B	IGHV3-20	58	59
IGHV4-B	IGHV3-21	54	55
IGHV4-B	IGHV3-22	74	74
IGHV4-B	IGHV3-23	53	54
IGHV4-B	IGHV5-A	60	61
IGHV4-B	IGHV7-34-1	69	70
IGHV4-B	IGHV1-58	65	66
IGHV4-B	IGHV5-51	60	61
IGHV4-B	IGHV3-69-1	57	58
IGHV4-B	IGHV3/OR16-10	59	60
IGHV4-B	IGHV3/OR16-13	58	59
